City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Catamarca,-28.4696,-65.7852,52.59,66,66,3.0,broken clouds
216,Maningrida,-12.0667,134.2667,71.76,85,90,6.55,overcast clouds
217,Kharp,66.8014,65.8081,45.03,64,46,8.01,scattered clouds
218,Broken Hill,-31.95,141.4333,43.72,84,26,8.48,scattered clouds
219,Jaumave,23.4167,-99.3833,93.18,30,0,11.21,clear sky
220,Cayenne,4.9333,-52.3333,77.09,1,0,1.14,clear sky
221,Seymchan,62.8833,152.4333,50.05,67,96,12.93,overcast clouds
222,Sao Filipe,14.8961,-24.4956,75.11,79,11,11.95,few clouds
223,Kutum,14.2,24.6667,80.22,10,77,8.86,broken clouds
224,Fortuna,40.5982,-124.1573,65.93,66,0,18.41,clear sky
225,Price,39.5994,-110.8107,61.86,20,0,3.44,clear sky
226,Novobelokatay,55.7062,58.9549,44.53,88,42,1.01,scattered clouds
227,Viedma,-40.8135,-62.9967,42.19,65,20,8.5,few clouds
228,Portland,45.5234,-122.6762,79.23,46,20,5.75,few clouds
229,Biak,-0.9131,122.8766,75.81,86,47,1.32,scattered clouds
230,Swan Hill,-35.3378,143.5544,42.22,76,1,12.88,clear sky
231,Bumba,2.1833,22.4667,73.8,85,95,1.36,overcast clouds
232,San Policarpo,12.1791,125.5072,80.24,85,39,9.91,scattered clouds
233,Narsaq,60.9167,-46.05,53.82,61,100,5.77,overcast clouds
234,Lerwick,60.1545,-1.1494,44.6,82,96,5.57,overcast clouds
235,Ostrovnoy,68.0531,39.5131,37.24,85,15,2.95,few clouds
236,Copiapo,-27.3667,-70.3333,53.29,61,100,4.65,overcast clouds
237,Yambio,4.5721,28.3955,68.41,89,95,1.99,overcast clouds
238,Marau,-28.4492,-52.2,41.5,90,1,4.7,clear sky
239,Phan Thiet,10.9333,108.1,78.53,90,69,2.77,broken clouds
240,Caravelas,-17.7125,-39.2481,73.69,90,1,5.3,clear sky
241,Kenai,60.5544,-151.2583,74.03,27,0,11.5,clear sky
242,Bambous Virieux,-20.3428,57.7575,73.65,64,40,9.22,scattered clouds
243,Dingle,10.9995,122.6711,76.86,91,70,2.06,broken clouds
244,Salalah,17.0151,54.0924,81.1,84,29,5.77,scattered clouds
245,Miandrivazo,-19.5167,45.4667,65.89,53,2,2.04,clear sky
246,Berezovyy,51.6667,135.7,43.59,99,100,4.81,moderate rain
247,Bereda,43.2686,-7.5406,59.58,100,97,3.56,overcast clouds
248,Vila Franca Do Campo,37.7167,-25.4333,61.21,82,51,16.51,broken clouds
249,Eyl,7.9803,49.8164,78.98,81,62,18.99,broken clouds
250,Save,8.0425,2.486,76.35,84,86,2.95,overcast clouds
251,Rawah,34.4816,41.9093,88.38,14,0,9.06,clear sky
252,Rudnogorsk,57.2639,103.7519,40.91,88,8,4.23,clear sky
253,Mar Del Plata,-38.0023,-57.5575,44.1,65,0,5.75,clear sky
254,Takoradi,4.8845,-1.7554,78.48,82,78,6.58,broken clouds
255,Zemetchino,53.4973,42.6163,60.69,74,100,7.34,overcast clouds
256,Bay Roberts,47.5999,-53.2648,44.51,88,100,5.99,light rain
257,Gornopravdinsk,60.05,69.9,41.85,69,7,6.29,clear sky
258,Amuntai,-2.4177,115.2494,74.62,93,32,1.99,scattered clouds
259,Tautira,-17.7333,-149.15,78.64,80,100,16.8,overcast clouds
260,Isangel,-19.55,169.2667,84.31,74,11,3.44,few clouds
261,Thinadhoo,0.5333,72.9333,82.96,73,65,12.46,broken clouds
262,Wukari,7.85,9.7833,75.63,87,97,1.57,light rain
