City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,College,US,74.46,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
264,Northam,GB,55.26,clear sky,51.0333,-4.2167,Durrant House Hotel
265,Bengbu,CN,74.12,clear sky,32.9408,117.3608,Howard Johnson Nanshan Plaza
266,Severo-Kurilsk,RU,41.11,few clouds,50.6789,156.125,Kak Doma
267,Deputatskiy,RU,34.59,broken clouds,69.3,139.9,Baza Otdykha
268,Honiara,SB,76.35,moderate rain,-9.4333,159.95,Heritage Park Hotel
269,Bandar-E Lengeh,IR,90.43,clear sky,26.5579,54.8807,کافی نت پارس
270,Taltal,CL,58.19,clear sky,-25.4,-70.4833,Residencial Karime
271,Bac Lieu,VN,80.87,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
272,Shimanovsk,RU,46.44,overcast clouds,52.0,127.7,Гостиница Домашняя
273,Isla Mujeres,MX,77.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
275,Nantucket,US,60.94,overcast clouds,41.2835,-70.0995,Jared Coffin House
276,Makat,KZ,69.87,clear sky,47.6469,53.3463,Umit
277,Tornio,FI,55.42,overcast clouds,65.8481,24.1466,Park Hotel Tornio
278,Aasiaat,GL,33.4,few clouds,68.7098,-52.8699,Hotel Aasiaat Sømandshjem
279,Green Bay,US,73.71,clear sky,44.5192,-88.0198,Hilton Garden Inn Green Bay
280,Farafangana,MG,66.74,clear sky,-22.8167,47.8333,Miarina
282,Geraldton,AU,46.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
283,Helong,CN,48.11,overcast clouds,42.5397,128.9972,Helong Hotel
284,Port Hawkesbury,CA,48.9,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
285,Salinas,US,94.98,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
286,Koshurnikovo,RU,47.98,overcast clouds,54.1667,93.3,Outskirts Manor
287,Kahului,US,82.98,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
288,Rolla,US,78.06,overcast clouds,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
289,Xiangfan,CN,72.25,broken clouds,32.0422,112.1448,Xiangyang Wanda Crowne Plaza
290,La Sarre,CA,65.8,broken clouds,48.8002,-79.1996,Motel Villa Mon Repos
291,Itacoatiara,BR,82.08,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
292,Mantua,IT,78.04,clear sky,45.1667,10.7833,Hotel la Favorita
294,Miles City,US,67.17,few clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
295,Wanganui,NZ,57.6,moderate rain,-39.9333,175.05,Aotea Motor Lodge
296,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
297,Camana,PE,66.22,few clouds,-16.6228,-72.7111,Hostal Morales
298,Niteroi,BR,76.19,few clouds,-22.8833,-43.1036,Hotel Viareggio
299,Gat,IL,73.4,clear sky,31.61,34.7642,OlusHome
300,Sur,OM,83.5,clear sky,22.5667,59.5289,Sur Plaza Hotel
301,Tabas,IR,79.02,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
302,Vila Franca Do Campo,PT,66.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
303,Hambantota,LK,79.81,broken clouds,6.1241,81.1185,Bungalow 63
304,Tautira,PF,78.64,light rain,-17.7333,-149.15,Pension Oaoa
306,Hermanus,ZA,58.24,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
307,Inuvik,CA,54.46,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
308,Salamiyah,SY,75.99,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
310,Robertsport,LR,81.23,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
311,Nexo,DK,53.69,overcast clouds,55.0607,15.1306,Strandhotel Balka Søbad
312,Grindavik,IS,52.27,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
313,Kavaratti,IN,82.81,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
314,Yarmouth,US,61.25,light rain,41.7057,-70.2286,Blue Rock Resort
315,Port Hardy,CA,51.98,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
316,Grand Haven,US,74.46,broken clouds,43.0631,-86.2284,"Holiday Inn Grand Haven-Spring Lake, an IHG Hotel"
317,Ullapool,GB,51.84,broken clouds,57.8987,-5.1604,Argyll Hotel
319,Cranbrook,CA,67.84,scattered clouds,49.4999,-115.7688,Almo Court Motel
320,Ginir,ET,57.87,scattered clouds,7.1333,40.7,Sura Dare Village
321,Belyy Yar,RU,54.86,clear sky,53.6039,91.3903,Pasportnyy Stol
322,Ilulissat,GL,35.62,scattered clouds,69.2167,-51.1,Hotel Arctic
323,Keflavik,IS,52.23,broken clouds,64.0049,-22.5624,Hotel Keflavik
324,Meadow Lake,US,86.79,clear sky,34.8014,-106.5436,TumbleWeed RV Park
325,Zhigansk,RU,41.02,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
326,Patterson,US,91.02,clear sky,37.4716,-121.1297,Best Western Plus Villa Del Lago Inn
327,Kerema,PG,76.6,few clouds,-7.9631,145.7785,Frena Lodge
328,Santiago De Cao,PE,64.53,fog,-7.9589,-79.2392,Casa de la tía
329,Sungairaya,ID,78.31,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
330,Marawi,PH,69.96,broken clouds,7.9986,124.2928,Derogongan Residence
331,Santa Maria,BR,51.04,clear sky,-29.6842,-53.8069,Hotel Morotin
332,Madinat Sittah Uktubar,EG,78.4,clear sky,29.8167,31.05,Happy Kennel Academy
333,Lompoc,US,91.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
335,Galle,LK,80.01,overcast clouds,6.0367,80.217,Amangalla
336,Beyneu,KZ,78.26,clear sky,45.3167,55.2,NUR
337,Nome,US,56.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
338,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
339,Omboue,GA,75.06,overcast clouds,-1.5746,9.2618,Hotel Olako
341,Darnah,LY,75.45,clear sky,32.767,22.6367,فندق الفردوس
