City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,Hargeysa,9.56,44.065,79.02,22,100,5.68,SO,2022-05-22 18:50:20
174,Adrar,20.5022,-10.0711,98.73,10,94,8.23,MR,2022-05-22 18:50:20
175,Sitka,57.0531,-135.33,49.89,81,75,10.36,US,2022-05-22 18:50:21
176,Quatre Cocos,-20.2078,57.7625,75.31,70,25,15.64,MU,2022-05-22 18:50:21
177,Lavrentiya,65.5833,-171.0,38.86,76,100,9.1,RU,2022-05-22 18:50:21
178,Saint George,37.1041,-113.5841,84.63,10,90,3.0,US,2022-05-22 18:45:26
179,Sorong,-0.8833,131.25,77.67,78,100,3.91,ID,2022-05-22 18:50:21
180,Zyryanovsk,49.7386,84.2719,58.95,80,19,2.08,KZ,2022-05-22 18:50:22
181,Taoudenni,22.6783,-3.9836,97.81,8,0,10.27,ML,2022-05-22 18:45:53
182,Bentiu,9.2333,29.8333,85.64,52,100,3.6,SS,2022-05-22 18:50:22
183,Hamilton,39.1834,-84.5333,67.64,74,100,12.66,US,2022-05-22 18:45:26
184,Shingu,33.7333,135.9833,62.85,74,0,6.35,JP,2022-05-22 18:51:22
185,Vestmannaeyjar,63.4427,-20.2734,54.59,66,0,6.91,IS,2022-05-22 18:51:22
186,Muros,42.7762,-9.0603,63.68,92,76,8.84,ES,2022-05-22 18:51:23
187,Roswell,34.0232,-84.3616,89.8,51,40,11.5,US,2022-05-22 18:50:12
188,Bulgan,48.8125,103.5347,57.11,38,96,4.52,MN,2022-05-22 18:51:23
189,Norden,53.6,7.2,58.98,84,100,10.54,DE,2022-05-22 18:51:23
190,Lagoa,39.05,-27.9833,62.24,92,100,5.97,PT,2022-05-22 18:51:23
191,Constitucion,-35.3333,-72.4167,53.94,86,100,9.53,CL,2022-05-22 18:51:24
192,Mitsamiouli,-11.3847,43.2844,81.14,77,19,5.06,KM,2022-05-22 18:51:24
193,Saldanha,-33.0117,17.9442,55.45,87,91,5.77,ZA,2022-05-22 18:51:24
194,Aksu,41.1231,80.2644,76.62,25,100,7.9,CN,2022-05-22 18:51:24
195,Dromolaxia,34.8761,33.586,67.71,74,40,7.0,CY,2022-05-22 18:51:25
196,Ginda,30.6945,78.4932,55.62,66,0,6.22,IN,2022-05-22 18:51:25
197,Poum,-20.2333,164.0167,78.33,79,0,11.18,NC,2022-05-22 18:51:25
198,Riyadh,24.6877,46.7219,95.14,9,0,9.15,SA,2022-05-22 18:50:01
199,Fredericton,45.9454,-66.6656,67.05,90,100,9.22,CA,2022-05-22 18:51:25
200,Codrington,-38.2667,141.9667,43.59,95,4,7.72,AU,2022-05-22 18:51:26
201,Kang,-23.6752,22.7876,50.67,57,0,4.81,BW,2022-05-22 18:51:26
202,Broken Hill,-31.95,141.4333,54.07,81,3,5.93,AU,2022-05-22 18:51:26
203,Sola,-13.8833,167.55,81.0,75,18,3.11,VU,2022-05-22 18:51:26
204,Biak,-0.9131,122.8766,76.01,83,98,5.82,ID,2022-05-22 18:51:27
205,Acireale,37.6125,15.1663,73.53,59,0,3.44,IT,2022-05-22 18:51:27
206,Atambua,-9.1061,124.8925,71.2,87,7,5.08,ID,2022-05-22 18:49:18
207,Torbay,47.6666,-52.7314,63.37,36,75,18.41,CA,2022-05-22 18:51:27
208,Aklavik,68.2191,-135.0107,26.6,86,100,8.05,CA,2022-05-22 18:51:27
209,Ferrol,43.4832,-8.2369,62.71,89,100,4.07,ES,2022-05-22 18:51:28
210,Shieli,44.1667,66.75,61.66,20,0,4.52,KZ,2022-05-22 18:51:28
211,Laguna,38.421,-121.4238,85.28,29,0,6.91,US,2022-05-22 18:51:28
212,Abomey,7.1829,1.9912,75.38,82,78,4.94,BJ,2022-05-22 18:51:28
