City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Broken Hill,AU,-31.95,141.4333,47.64,64,0,23.06,clear sky
234,Harper,LR,4.375,-7.7169,82.33,74,100,5.88,light rain
235,Nichinan,JP,31.6,131.3667,67.68,97,100,7.74,moderate rain
236,Abu Kamal,SY,34.4506,40.9171,102.56,9,100,9.01,overcast clouds
237,Maxixe,MZ,-23.8597,35.3472,73.09,61,0,16.17,clear sky
238,Clyde River,CA,70.4692,-68.5914,30.43,93,75,9.22,broken clouds
239,Tomatlan,MX,19.9333,-105.25,70.29,91,27,1.95,scattered clouds
240,Ayr,GB,55.4627,-4.6339,66.18,45,0,11.5,clear sky
241,Poya,NC,-21.35,165.15,70.56,86,0,4.99,clear sky
242,Malpe,IN,13.35,74.7167,87.1,75,99,3.53,overcast clouds
243,Chuy,UY,-33.6971,-53.4616,57.6,93,100,3.91,overcast clouds
244,Berlevag,NO,70.8578,29.0864,46.35,76,100,14.97,overcast clouds
245,Hithadhoo,MV,-0.6,73.0833,84.43,67,87,6.31,overcast clouds
246,Kudahuvadhoo,MV,2.6708,72.8944,83.71,73,48,12.82,scattered clouds
247,Bambous Virieux,MU,-20.3428,57.7575,76.21,64,40,11.5,scattered clouds
248,Kingori,TZ,-3.2833,36.9833,76.53,48,85,7.07,overcast clouds
249,Kysyl-Syr,RU,63.8986,122.7617,62.49,57,94,4.5,overcast clouds
250,Galdar,ES,28.147,-15.6502,75.34,66,33,16.69,scattered clouds
251,Ponta Do Sol,PT,32.6667,-17.1,71.71,74,86,1.05,overcast clouds
252,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.38,77,44,3.15,scattered clouds
253,Hasaki,JP,35.7333,140.8333,64.8,85,100,4.27,overcast clouds
254,Chicama,PE,-7.8447,-79.1469,59.54,83,100,6.44,overcast clouds
255,Dauphin,CA,51.1494,-100.0502,41.72,83,37,7.38,scattered clouds
256,Klaksvik,FO,62.2266,-6.589,50.92,88,85,12.71,overcast clouds
257,Turukhansk,RU,65.8167,87.9833,45.21,44,100,6.17,overcast clouds
258,Santa Isabel,BR,-23.3156,-46.2214,64.11,73,99,6.85,overcast clouds
259,Bubaque,GW,11.2833,-15.8333,80.01,81,95,10.76,overcast clouds
260,Praia,CV,14.9215,-23.5087,84.74,48,0,19.57,clear sky
261,Grand-Santi,GF,4.25,-54.3833,76.15,93,100,1.92,overcast clouds
262,Sorland,NO,67.667,12.6934,44.46,70,75,17.27,broken clouds
263,Zeya,RU,53.75,127.2667,59.47,56,6,5.06,clear sky
264,Meadow Lake,US,34.8014,-106.5436,68.4,33,10,4.9,clear sky
265,Macapa,BR,0.0389,-51.0664,79.0,80,95,5.5,overcast clouds
266,Impfondo,CG,1.6381,18.0667,88.41,52,91,2.86,overcast clouds
267,Along,IN,28.1667,94.7667,75.58,98,65,0.81,broken clouds
268,Tilichiki,RU,60.4667,166.1,42.06,89,7,6.49,clear sky
269,Ushtobe,KZ,45.2514,77.9838,76.3,21,7,13.35,clear sky
270,Oga,IT,46.4631,10.347,73.81,43,39,8.97,scattered clouds
271,El Alto,PE,-4.2714,-81.2147,64.06,69,100,7.74,overcast clouds
272,Varfurile,RO,46.3167,22.5167,80.13,50,6,8.66,clear sky
273,Umm Lajj,SA,25.0213,37.2685,86.94,56,11,9.86,few clouds
274,Empalme,MX,27.9667,-110.8167,72.91,72,0,4.56,clear sky
275,Talara,PE,-4.5772,-81.2719,66.96,82,0,24.16,clear sky
276,Kronach,DE,50.2396,11.3331,82.04,66,100,8.43,moderate rain
277,College,US,64.8569,-147.8028,53.55,44,20,10.36,few clouds
278,Kendari,ID,-3.945,122.4989,76.78,88,34,0.94,scattered clouds
279,Fairbanks,US,64.8378,-147.7164,53.56,45,20,10.36,few clouds
280,Palmer,US,42.1584,-72.3287,66.06,49,95,1.01,overcast clouds
281,Praya,CV,14.9215,-23.5087,84.74,48,0,19.57,clear sky
282,Mansa,IN,29.9833,75.3833,109.94,6,0,8.72,clear sky
283,Khorixas,NA,-20.3667,14.9667,79.75,17,100,24.99,overcast clouds
284,Tchibanga,GA,-2.85,11.0333,86.83,51,76,1.66,broken clouds
285,Yeniseysk,RU,58.4497,92.1703,51.96,61,68,0.6,broken clouds
286,Juneau,US,58.3019,-134.4197,50.22,100,75,3.44,fog
287,Hami,CN,42.8,93.45,83.17,14,8,18.25,clear sky
288,Guane,CU,22.2025,-84.0875,81.32,76,85,6.38,overcast clouds
289,Hutang,CN,31.5333,119.4833,72.0,91,59,5.17,broken clouds
290,Adrar,MR,20.5022,-10.0711,102.51,9,91,17.07,overcast clouds
291,Daru,PG,-9.0763,143.2092,77.77,88,88,3.15,overcast clouds
292,Tekeli,KZ,44.83,78.8239,62.73,65,60,4.56,broken clouds
293,Antofagasta,CL,-23.65,-70.4,66.22,58,48,0.43,scattered clouds
294,Pitimbu,BR,-7.4706,-34.8086,75.79,77,56,15.43,broken clouds
295,West Wendover,US,40.7391,-114.0733,56.41,58,0,0.0,clear sky
296,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,52,0,6.91,clear sky
297,Zhezkazgan,KZ,47.8043,67.7144,75.18,19,0,6.71,clear sky
298,Homer,US,59.6425,-151.5483,61.03,73,0,0.0,clear sky
299,At-Bashi,KG,41.1702,75.8106,65.82,29,4,4.54,clear sky
300,Leningradskiy,RU,69.3833,178.4167,28.51,88,70,3.89,broken clouds
301,Alofi,NU,-19.0595,-169.9187,78.96,78,48,9.33,light rain
302,Beisfjord,NO,68.3751,17.5988,46.04,99,100,6.55,overcast clouds
